2023-09-14 21:25:56,048.message_consumer_location.INFO ==================================================
2023-09-14 21:25:56,048.message_consumer_location.INFO Today is 2023-09-14 at 09:25 PM
2023-09-14 21:25:56,049.message_consumer_location.INFO Running on: nt Windows 10
2023-09-14 21:25:56,049.message_consumer_location.INFO Python version:  3.11.1
2023-09-14 21:25:56,049.message_consumer_location.INFO Python path: C:\Users\jorda\OneDrive\Desktop\Northwest Homework\1. Streaming Data\Module 4\streaming-04-bonus-jordanwheeler\.venv
2023-09-14 21:25:56,049.message_consumer_location.INFO Working dir: C:\Users\jorda\OneDrive\Desktop\Northwest Homework\1. Streaming Data\Module 4\streaming-04-bonus-jordanwheeler
2023-09-14 21:25:56,049.message_consumer_location.INFO ==================================================
2023-09-14 21:25:56,058.message_consumer_location.INFO  [*] Ready for work. To exit press CTRL+C
2023-09-14 21:26:02,712.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:02,713.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:04,714.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:04,714.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:06,716.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:06,717.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:08,717.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:08,718.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:10,719.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:10,720.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:12,720.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:12,720.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:14,721.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:14,722.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:16,723.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:16,723.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:18,724.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:18,725.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:20,725.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:20,726.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:22,727.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:22,727.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:24,728.message_consumer_location.INFO  [x] Received Saguache,CO
2023-09-14 21:26:24,729.message_consumer_location.INFO  [x] Done.
2023-09-14 21:26:26,730.message_consumer_location.INFO  [x] Received Saguache,CO
