2023-09-14 21:25:57,821.message_consumer_type.INFO ==================================================
2023-09-14 21:25:57,821.message_consumer_type.INFO Today is 2023-09-14 at 09:25 PM
2023-09-14 21:25:57,822.message_consumer_type.INFO Running on: nt Windows 10
2023-09-14 21:25:57,822.message_consumer_type.INFO Python version:  3.11.1
2023-09-14 21:25:57,822.message_consumer_type.INFO Python path: C:\Users\jorda\OneDrive\Desktop\Northwest Homework\1. Streaming Data\Module 4\streaming-04-bonus-jordanwheeler\.venv
2023-09-14 21:25:57,822.message_consumer_type.INFO Working dir: C:\Users\jorda\OneDrive\Desktop\Northwest Homework\1. Streaming Data\Module 4\streaming-04-bonus-jordanwheeler
2023-09-14 21:25:57,822.message_consumer_type.INFO ==================================================
2023-09-14 21:25:57,832.message_consumer_type.INFO  [*] Ready for work. To exit press CTRL+C
2023-09-14 21:26:02,712.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:02,712.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:04,713.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:04,714.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:06,716.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:06,717.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:08,717.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:08,718.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:10,718.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:10,719.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:12,720.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:26:12,720.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:14,721.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:14,722.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:16,722.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:16,723.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:18,723.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:18,724.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:20,725.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:20,726.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:22,727.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:26:22,727.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:24,727.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:26:24,728.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:26,730.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:26:26,731.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:28,730.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:26:28,732.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:30,732.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:30,733.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:32,734.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:26:32,734.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:34,734.message_consumer_type.INFO  [x] Received Snow,Heavy
2023-09-14 21:26:34,735.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:36,736.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:36,737.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:38,737.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:38,738.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:40,739.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:40,740.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:42,741.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:26:42,741.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:44,742.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:26:44,743.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:46,744.message_consumer_type.INFO  [x] Received Snow,Heavy
2023-09-14 21:26:46,744.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:48,745.message_consumer_type.INFO  [x] Received Rain,Moderate
2023-09-14 21:26:48,746.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:50,747.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:26:50,748.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:52,750.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:52,751.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:54,750.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:26:54,751.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:56,752.message_consumer_type.INFO  [x] Received Rain,Light
2023-09-14 21:26:56,753.message_consumer_type.INFO  [x] Done.
2023-09-14 21:26:58,753.message_consumer_type.INFO  [x] Received Snow,Light
2023-09-14 21:26:58,754.message_consumer_type.INFO  [x] Done.
2023-09-14 21:27:00,755.message_consumer_type.INFO  [x] Received Snow,Moderate
2023-09-14 21:27:00,756.message_consumer_type.INFO  [x] Done.
