2023-09-14 21:28:28,867.message_producer.INFO ==================================================
2023-09-14 21:28:28,867.message_producer.INFO Today is 2023-09-14 at 09:28 PM
2023-09-14 21:28:28,867.message_producer.INFO Running on: nt Windows 10
2023-09-14 21:28:28,867.message_producer.INFO Python version:  3.11.1
2023-09-14 21:28:28,867.message_producer.INFO Python path: C:\Users\jorda\OneDrive\Desktop\Northwest Homework\1. Streaming Data\Module 4\streaming-04-bonus-jordanwheeler\.venv
2023-09-14 21:28:28,868.message_producer.INFO Working dir: C:\Users\jorda\OneDrive\Desktop\Northwest Homework\1. Streaming Data\Module 4\streaming-04-bonus-jordanwheeler
2023-09-14 21:28:28,868.message_producer.INFO ==================================================
2023-09-14 21:28:28,877.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:28,878.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:28,878.message_producer.INFO  [x] Sent 0.03 to precipitation_que
2023-09-14 21:28:30,878.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:30,878.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:30,878.message_producer.INFO  [x] Sent 0.01 to precipitation_que
2023-09-14 21:28:32,880.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:32,880.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:32,880.message_producer.INFO  [x] Sent 0.03 to precipitation_que
2023-09-14 21:28:34,882.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:34,882.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:34,883.message_producer.INFO  [x] Sent 0.11 to precipitation_que
2023-09-14 21:28:36,883.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:36,883.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:36,883.message_producer.INFO  [x] Sent 0.02 to precipitation_que
2023-09-14 21:28:38,884.message_producer.INFO  [x] Sent Snow,Moderate to type_queue
2023-09-14 21:28:38,884.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:38,884.message_producer.INFO  [x] Sent 0.07 to precipitation_que
2023-09-14 21:28:40,886.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:40,886.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:40,886.message_producer.INFO  [x] Sent 0.03 to precipitation_que
2023-09-14 21:28:42,887.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:42,887.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:42,887.message_producer.INFO  [x] Sent 0.01 to precipitation_que
2023-09-14 21:28:44,888.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:44,888.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:44,888.message_producer.INFO  [x] Sent 0.02 to precipitation_que
2023-09-14 21:28:46,890.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:46,890.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:46,891.message_producer.INFO  [x] Sent 0.02 to precipitation_que
2023-09-14 21:28:48,891.message_producer.INFO  [x] Sent Rain,Light to type_queue
2023-09-14 21:28:48,891.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:48,892.message_producer.INFO  [x] Sent 0.06 to precipitation_que
2023-09-14 21:28:50,893.message_producer.INFO  [x] Sent Rain,Light to type_queue
2023-09-14 21:28:50,893.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:50,893.message_producer.INFO  [x] Sent 0.01 to precipitation_que
2023-09-14 21:28:52,894.message_producer.INFO  [x] Sent Rain,Light to type_queue
2023-09-14 21:28:52,894.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:52,894.message_producer.INFO  [x] Sent 0.04 to precipitation_que
2023-09-14 21:28:54,895.message_producer.INFO  [x] Sent Snow,Moderate to type_queue
2023-09-14 21:28:54,895.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:54,896.message_producer.INFO  [x] Sent 0.04 to precipitation_que
2023-09-14 21:28:56,896.message_producer.INFO  [x] Sent Snow,Light to type_queue
2023-09-14 21:28:56,896.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:56,896.message_producer.INFO  [x] Sent 0.03 to precipitation_que
2023-09-14 21:28:58,898.message_producer.INFO  [x] Sent Snow,Moderate to type_queue
2023-09-14 21:28:58,898.message_producer.INFO  [x] Sent Saguache,CO to location_queue
2023-09-14 21:28:58,898.message_producer.INFO  [x] Sent 0.03 to precipitation_que
